"Cost per message in GBP on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
Argentina,GBP,0,"100,000",List rate,0.0188,0%,0,"120,000",List rate,0.0188,0%,n/a,n/a,n/a,n/a,n/a
,GBP,"100,001","1,000,000",Tier rate,0.0179,-5%,"120,001","400,000",Tier rate,0.0179,-5%,n/a,n/a,n/a,n/a,n/a
,GBP,"1,000,001","4,500,000",Tier rate,0.0169,-10%,"400,001","1,000,000",Tier rate,0.0169,-10%,n/a,n/a,n/a,n/a,n/a
,GBP,"4,500,001","15,000,000",Tier rate,0.0160,-15%,"1,000,001","5,000,000",Tier rate,0.0160,-15%,n/a,n/a,n/a,n/a,n/a
,GBP,"15,000,001","30,000,000",Tier rate,0.0150,-20%,"5,000,001","10,000,000",Tier rate,0.0150,-20%,n/a,n/a,n/a,n/a,n/a
,GBP,"30,000,001",--,Tier rate,0.0141,-25%,"10,000,001",--,Tier rate,0.0141,-25%,n/a,n/a,n/a,n/a,n/a
Brazil,GBP,0,"250,000",List rate,0.0049,0%,0,"500,000",List rate,0.0049,0%,n/a,n/a,n/a,n/a,n/a
,GBP,"250,001","2,000,000",Tier rate,0.0047,-5%,"500,001","3,000,000",Tier rate,0.0047,-5%,n/a,n/a,n/a,n/a,n/a
,GBP,"2,000,001","17,000,000",Tier rate,0.0044,-10%,"3,000,001","5,250,000",Tier rate,0.0044,-10%,n/a,n/a,n/a,n/a,n/a
,GBP,"17,000,001","35,000,000",Tier rate,0.0042,-15%,"5,250,001","10,000,000",Tier rate,0.0042,-15%,n/a,n/a,n/a,n/a,n/a
,GBP,"35,000,001","70,000,000",Tier rate,0.0039,-20%,"10,000,001","20,000,000",Tier rate,0.0039,-20%,n/a,n/a,n/a,n/a,n/a
,GBP,"70,000,001",--,Tier rate,0.0037,-25%,"20,000,001",--,Tier rate,0.0037,-25%,n/a,n/a,n/a,n/a,n/a
Chile,GBP,0,"100,000",List rate,0.0144,0%,0,"120,000",List rate,0.0144,0%,n/a,n/a,n/a,n/a,n/a
,GBP,"100,001","1,000,000",Tier rate,0.0137,-5%,"120,001","400,000",Tier rate,0.0137,-5%,n/a,n/a,n/a,n/a,n/a
,GBP,"1,000,001","4,500,000",Tier rate,0.0130,-10%,"400,001","1,000,000",Tier rate,0.0130,-10%,n/a,n/a,n/a,n/a,n/a
,GBP,"4,500,001","15,000,000",Tier rate,0.0122,-15%,"1,000,001","5,000,000",Tier rate,0.0122,-15%,n/a,n/a,n/a,n/a,n/a
,GBP,"15,000,001","30,000,000",Tier rate,0.0115,-20%,"5,000,001","10,000,000",Tier rate,0.0115,-20%,n/a,n/a,n/a,n/a,n/a
,GBP,"30,000,001",--,Tier rate,0.0108,-25%,"10,000,001",--,Tier rate,0.0108,-25%,n/a,n/a,n/a,n/a,n/a
Colombia,GBP,0,"100,000",List rate,0.0004,0%,0,"120,000",List rate,0.0004,0%,n/a,n/a,n/a,n/a,n/a
,GBP,"100,001","1,000,000",Tier rate,0.0004,-5%,"120,001","400,000",Tier rate,0.0004,-5%,n/a,n/a,n/a,n/a,n/a
,GBP,"1,000,001","4,500,000",Tier rate,0.0004,-10%,"400,001","1,000,000",Tier rate,0.0004,-10%,n/a,n/a,n/a,n/a,n/a
,GBP,"4,500,001","15,000,000",Tier rate,0.0003,-15%,"1,000,001","5,000,000",Tier rate,0.0003,-15%,n/a,n/a,n/a,n/a,n/a
,GBP,"15,000,001","30,000,000",Tier rate,0.0003,-20%,"5,000,001","10,000,000",Tier rate,0.0003,-20%,n/a,n/a,n/a,n/a,n/a
,GBP,"30,000,001",--,Tier rate,0.0003,-25%,"10,000,001",--,Tier rate,0.0003,-25%,n/a,n/a,n/a,n/a,n/a
Egypt,GBP,0,"100,000",List rate,0.0026,0%,0,"300,000",List rate,0.0026,0%,0,"300,000",List rate,0.0469,0%
,GBP,"100,001","1,000,000",Tier rate,0.0025,-5%,"300,001","2,000,000",Tier rate,0.0025,-5%,"300,001","2,000,000",Tier rate,0.0446,-5%
,GBP,"1,000,001","4,500,000",Tier rate,0.0023,-10%,"2,000,001","10,000,000",Tier rate,0.0023,-10%,"2,000,001","10,000,000",Tier rate,0.0422,-10%
,GBP,"4,500,001","40,000,000",Tier rate,0.0022,-15%,"10,000,001","20,000,000",Tier rate,0.0022,-15%,"10,000,001","20,000,000",Tier rate,0.0399,-15%
,GBP,"40,000,001","80,000,000",Tier rate,0.0021,-20%,"20,000,001","40,000,000",Tier rate,0.0021,-20%,"20,000,001","40,000,000",Tier rate,0.0375,-20%
,GBP,"80,000,001",--,Tier rate,0.0020,-25%,"40,000,001",--,Tier rate,0.0020,-25%,"40,000,001",--,Tier rate,0.0352,-25%
France,GBP,0,"100,000",List rate,0.0216,0%,0,"300,000",List rate,0.0216,0%,n/a,n/a,n/a,n/a,n/a
,GBP,"100,001","1,000,000",Tier rate,0.0205,-5%,"300,001","2,000,000",Tier rate,0.0205,-5%,n/a,n/a,n/a,n/a,n/a
