"Cost per message in SGD on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
Argentina,SGD,0,"100,000",List rate,0.0333,0%,0,"120,000",List rate,0.0333,0%,n/a,n/a,n/a,n/a,n/a
,SGD,"100,001","1,000,000",Tier rate,0.0316,-5%,"120,001","400,000",Tier rate,0.0316,-5%,n/a,n/a,n/a,n/a,n/a
,SGD,"1,000,001","4,500,000",Tier rate,0.0300,-10%,"400,001","1,000,000",Tier rate,0.0300,-10%,n/a,n/a,n/a,n/a,n/a
,SGD,"4,500,001","15,000,000",Tier rate,0.0283,-15%,"1,000,001","5,000,000",Tier rate,0.0283,-15%,n/a,n/a,n/a,n/a,n/a
,SGD,"15,000,001","30,000,000",Tier rate,0.0266,-20%,"5,000,001","10,000,000",Tier rate,0.0266,-20%,n/a,n/a,n/a,n/a,n/a
,SGD,"30,000,001",--,Tier rate,0.0250,-25%,"10,000,001",--,Tier rate,0.0250,-25%,n/a,n/a,n/a,n/a,n/a
Brazil,SGD,0,"250,000",List rate,0.0087,0%,0,"500,000",List rate,0.0087,0%,n/a,n/a,n/a,n/a,n/a
,SGD,"250,001","2,000,000",Tier rate,0.0083,-5%,"500,001","3,000,000",Tier rate,0.0083,-5%,n/a,n/a,n/a,n/a,n/a
,SGD,"2,000,001","17,000,000",Tier rate,0.0078,-10%,"3,000,001","5,250,000",Tier rate,0.0078,-10%,n/a,n/a,n/a,n/a,n/a
,SGD,"17,000,001","35,000,000",Tier rate,0.0074,-15%,"5,250,001","10,000,000",Tier rate,0.0074,-15%,n/a,n/a,n/a,n/a,n/a
,SGD,"35,000,001","70,000,000",Tier rate,0.0070,-20%,"10,000,001","20,000,000",Tier rate,0.0070,-20%,n/a,n/a,n/a,n/a,n/a
,SGD,"70,000,001",--,Tier rate,0.0065,-25%,"20,000,001",--,Tier rate,0.0065,-25%,n/a,n/a,n/a,n/a,n/a
Chile,SGD,0,"100,000",List rate,0.0256,0%,0,"120,000",List rate,0.0256,0%,n/a,n/a,n/a,n/a,n/a
,SGD,"100,001","1,000,000",Tier rate,0.0243,-5%,"120,001","400,000",Tier rate,0.0243,-5%,n/a,n/a,n/a,n/a,n/a
,SGD,"1,000,001","4,500,000",Tier rate,0.0230,-10%,"400,001","1,000,000",Tier rate,0.0230,-10%,n/a,n/a,n/a,n/a,n/a
,SGD,"4,500,001","15,000,000",Tier rate,0.0218,-15%,"1,000,001","5,000,000",Tier rate,0.0218,-15%,n/a,n/a,n/a,n/a,n/a
,SGD,"15,000,001","30,000,000",Tier rate,0.0205,-20%,"5,000,001","10,000,000",Tier rate,0.0205,-20%,n/a,n/a,n/a,n/a,n/a
,SGD,"30,000,001",--,Tier rate,0.0192,-25%,"10,000,001",--,Tier rate,0.0192,-25%,n/a,n/a,n/a,n/a,n/a
Colombia,SGD,0,"100,000",List rate,0.0010,0%,0,"120,000",List rate,0.0010,0%,n/a,n/a,n/a,n/a,n/a
,SGD,"100,001","1,000,000",Tier rate,0.0010,-5%,"120,001","400,000",Tier rate,0.0010,-5%,n/a,n/a,n/a,n/a,n/a
,SGD,"1,000,001","4,500,000",Tier rate,0.0009,-10%,"400,001","1,000,000",Tier rate,0.0009,-10%,n/a,n/a,n/a,n/a,n/a
,SGD,"4,500,001","15,000,000",Tier rate,0.0009,-15%,"1,000,001","5,000,000",Tier rate,0.0009,-15%,n/a,n/a,n/a,n/a,n/a
,SGD,"15,000,001","30,000,000",Tier rate,0.0008,-20%,"5,000,001","10,000,000",Tier rate,0.0008,-20%,n/a,n/a,n/a,n/a,n/a
,SGD,"30,000,001",--,Tier rate,0.0008,-25%,"10,000,001",--,Tier rate,0.0008,-25%,n/a,n/a,n/a,n/a,n/a
Egypt,SGD,0,"100,000",List rate,0.0046,0%,0,"300,000",List rate,0.0046,0%,0,"300,000",List rate,0.0832,0%
,SGD,"100,001","1,000,000",Tier rate,0.0044,-5%,"300,001","2,000,000",Tier rate,0.0044,-5%,"300,001","2,000,000",Tier rate,0.0790,-5%
,SGD,"1,000,001","4,500,000",Tier rate,0.0041,-10%,"2,000,001","10,000,000",Tier rate,0.0041,-10%,"2,000,001","10,000,000",Tier rate,0.0749,-10%
,SGD,"4,500,001","40,000,000",Tier rate,0.0039,-15%,"10,000,001","20,000,000",Tier rate,0.0039,-15%,"10,000,001","20,000,000",Tier rate,0.0707,-15%
,SGD,"40,000,001","80,000,000",Tier rate,0.0037,-20%,"20,000,001","40,000,000",Tier rate,0.0037,-20%,"20,000,001","40,000,000",Tier rate,0.0666,-20%
,SGD,"80,000,001",--,Tier rate,0.0035,-25%,"40,000,001",--,Tier rate,0.0035,-25%,"40,000,001",--,Tier rate,0.0624,-25%
France,SGD,0,"100,000",List rate,0.0384,0%,0,"300,000",List rate,0.0384,0%,n/a,n/a,n/a,n/a,n/a
,SGD,"100,001","1,000,000",Tier rate,0.0365,-5%,"300,001","2,000,000",Tier rate,0.0365,-5%,n/a,n/a,n/a,n/a,n/a
