"Cost per message in BRL on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
Argentina,BRL,0,"100,000",List rate,0.1338,0%,0,"120,000",List rate,0.1338,0%,n/a,n/a,n/a,n/a,n/a
,BRL,"100,001","1,000,000",Tier rate,0.1271,-5%,"120,001","400,000",Tier rate,0.1271,-5%,n/a,n/a,n/a,n/a,n/a
,BRL,"1,000,001","4,500,000",Tier rate,0.1204,-10%,"400,001","1,000,000",Tier rate,0.1204,-10%,n/a,n/a,n/a,n/a,n/a
,BRL,"4,500,001","15,000,000",Tier rate,0.1137,-15%,"1,000,001","5,000,000",Tier rate,0.1137,-15%,n/a,n/a,n/a,n/a,n/a
,BRL,"15,000,001","30,000,000",Tier rate,0.1070,-20%,"5,000,001","10,000,000",Tier rate,0.1070,-20%,n/a,n/a,n/a,n/a,n/a
,BRL,"30,000,001",--,Tier rate,0.1004,-25%,"10,000,001",--,Tier rate,0.1004,-25%,n/a,n/a,n/a,n/a,n/a
Brazil,BRL,0,"250,000",List rate,0.0350,0%,0,"500,000",List rate,0.0350,0%,n/a,n/a,n/a,n/a,n/a
,BRL,"250,001","2,000,000",Tier rate,0.0333,-5%,"500,001","3,000,000",Tier rate,0.0333,-5%,n/a,n/a,n/a,n/a,n/a
,BRL,"2,000,001","17,000,000",Tier rate,0.0315,-10%,"3,000,001","5,250,000",Tier rate,0.0315,-10%,n/a,n/a,n/a,n/a,n/a
,BRL,"17,000,001","35,000,000",Tier rate,0.0298,-15%,"5,250,001","10,000,000",Tier rate,0.0298,-15%,n/a,n/a,n/a,n/a,n/a
,BRL,"35,000,001","70,000,000",Tier rate,0.0280,-20%,"10,000,001","20,000,000",Tier rate,0.0280,-20%,n/a,n/a,n/a,n/a,n/a
,BRL,"70,000,001",--,Tier rate,0.0263,-25%,"20,000,001",--,Tier rate,0.0263,-25%,n/a,n/a,n/a,n/a,n/a
Chile,BRL,0,"100,000",List rate,0.1029,0%,0,"120,000",List rate,0.1029,0%,n/a,n/a,n/a,n/a,n/a
,BRL,"100,001","1,000,000",Tier rate,0.0978,-5%,"120,001","400,000",Tier rate,0.0978,-5%,n/a,n/a,n/a,n/a,n/a
,BRL,"1,000,001","4,500,000",Tier rate,0.0926,-10%,"400,001","1,000,000",Tier rate,0.0926,-10%,n/a,n/a,n/a,n/a,n/a
,BRL,"4,500,001","15,000,000",Tier rate,0.0875,-15%,"1,000,001","5,000,000",Tier rate,0.0875,-15%,n/a,n/a,n/a,n/a,n/a
,BRL,"15,000,001","30,000,000",Tier rate,0.0823,-20%,"5,000,001","10,000,000",Tier rate,0.0823,-20%,n/a,n/a,n/a,n/a,n/a
,BRL,"30,000,001",--,Tier rate,0.0772,-25%,"10,000,001",--,Tier rate,0.0772,-25%,n/a,n/a,n/a,n/a,n/a
Colombia,BRL,0,"100,000",List rate,0.0041,0%,0,"120,000",List rate,0.0041,0%,n/a,n/a,n/a,n/a,n/a
,BRL,"100,001","1,000,000",Tier rate,0.0039,-5%,"120,001","400,000",Tier rate,0.0039,-5%,n/a,n/a,n/a,n/a,n/a
,BRL,"1,000,001","4,500,000",Tier rate,0.0037,-10%,"400,001","1,000,000",Tier rate,0.0037,-10%,n/a,n/a,n/a,n/a,n/a
,BRL,"4,500,001","15,000,000",Tier rate,0.0035,-15%,"1,000,001","5,000,000",Tier rate,0.0035,-15%,n/a,n/a,n/a,n/a,n/a
,BRL,"15,000,001","30,000,000",Tier rate,0.0033,-20%,"5,000,001","10,000,000",Tier rate,0.0033,-20%,n/a,n/a,n/a,n/a,n/a
,BRL,"30,000,001",--,Tier rate,0.0031,-25%,"10,000,001",--,Tier rate,0.0031,-25%,n/a,n/a,n/a,n/a,n/a
Egypt,BRL,0,"100,000",List rate,0.0185,0%,0,"300,000",List rate,0.0185,0%,0,"300,000",List rate,0.3346,0%
,BRL,"100,001","1,000,000",Tier rate,0.0176,-5%,"300,001","2,000,000",Tier rate,0.0176,-5%,"300,001","2,000,000",Tier rate,0.3179,-5%
,BRL,"1,000,001","4,500,000",Tier rate,0.0167,-10%,"2,000,001","10,000,000",Tier rate,0.0167,-10%,"2,000,001","10,000,000",Tier rate,0.3011,-10%
,BRL,"4,500,001","40,000,000",Tier rate,0.0157,-15%,"10,000,001","20,000,000",Tier rate,0.0157,-15%,"10,000,001","20,000,000",Tier rate,0.2844,-15%
,BRL,"40,000,001","80,000,000",Tier rate,0.0148,-20%,"20,000,001","40,000,000",Tier rate,0.0148,-20%,"20,000,001","40,000,000",Tier rate,0.2677,-20%
,BRL,"80,000,001",--,Tier rate,0.0139,-25%,"40,000,001",--,Tier rate,0.0139,-25%,"40,000,001",--,Tier rate,0.2510,-25%
France,BRL,0,"100,000",List rate,0.1544,0%,0,"300,000",List rate,0.1544,0%,n/a,n/a,n/a,n/a,n/a
,BRL,"100,001","1,000,000",Tier rate,0.1467,-5%,"300,001","2,000,000",Tier rate,0.1467,-5%,n/a,n/a,n/a,n/a,n/a
