"Cost per message in PEN on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
Argentina,PEN,0,"100,000",List rate,0.0865,0%,0,"120,000",List rate,0.0865,0%,n/a,n/a,n/a,n/a,n/a
,PEN,"100,001","1,000,000",Tier rate,0.0822,-5%,"120,001","400,000",Tier rate,0.0822,-5%,n/a,n/a,n/a,n/a,n/a
,PEN,"1,000,001","4,500,000",Tier rate,0.0779,-10%,"400,001","1,000,000",Tier rate,0.0779,-10%,n/a,n/a,n/a,n/a,n/a
,PEN,"4,500,001","15,000,000",Tier rate,0.0735,-15%,"1,000,001","5,000,000",Tier rate,0.0735,-15%,n/a,n/a,n/a,n/a,n/a
,PEN,"15,000,001","30,000,000",Tier rate,0.0692,-20%,"5,000,001","10,000,000",Tier rate,0.0692,-20%,n/a,n/a,n/a,n/a,n/a
,PEN,"30,000,001",--,Tier rate,0.0649,-25%,"10,000,001",--,Tier rate,0.0649,-25%,n/a,n/a,n/a,n/a,n/a
Brazil,PEN,0,"250,000",List rate,0.0226,0%,0,"500,000",List rate,0.0226,0%,n/a,n/a,n/a,n/a,n/a
,PEN,"250,001","2,000,000",Tier rate,0.0215,-5%,"500,001","3,000,000",Tier rate,0.0215,-5%,n/a,n/a,n/a,n/a,n/a
,PEN,"2,000,001","17,000,000",Tier rate,0.0203,-10%,"3,000,001","5,250,000",Tier rate,0.0203,-10%,n/a,n/a,n/a,n/a,n/a
,PEN,"17,000,001","35,000,000",Tier rate,0.0192,-15%,"5,250,001","10,000,000",Tier rate,0.0192,-15%,n/a,n/a,n/a,n/a,n/a
,PEN,"35,000,001","70,000,000",Tier rate,0.0181,-20%,"10,000,001","20,000,000",Tier rate,0.0181,-20%,n/a,n/a,n/a,n/a,n/a
,PEN,"70,000,001",--,Tier rate,0.0170,-25%,"20,000,001",--,Tier rate,0.0170,-25%,n/a,n/a,n/a,n/a,n/a
Chile,PEN,0,"100,000",List rate,0.0665,0%,0,"120,000",List rate,0.0665,0%,n/a,n/a,n/a,n/a,n/a
,PEN,"100,001","1,000,000",Tier rate,0.0632,-5%,"120,001","400,000",Tier rate,0.0632,-5%,n/a,n/a,n/a,n/a,n/a
,PEN,"1,000,001","4,500,000",Tier rate,0.0599,-10%,"400,001","1,000,000",Tier rate,0.0599,-10%,n/a,n/a,n/a,n/a,n/a
,PEN,"4,500,001","15,000,000",Tier rate,0.0565,-15%,"1,000,001","5,000,000",Tier rate,0.0565,-15%,n/a,n/a,n/a,n/a,n/a
,PEN,"15,000,001","30,000,000",Tier rate,0.0532,-20%,"5,000,001","10,000,000",Tier rate,0.0532,-20%,n/a,n/a,n/a,n/a,n/a
,PEN,"30,000,001",--,Tier rate,0.0499,-25%,"10,000,001",--,Tier rate,0.0499,-25%,n/a,n/a,n/a,n/a,n/a
Colombia,PEN,0,"100,000",List rate,0.0027,0%,0,"120,000",List rate,0.0027,0%,n/a,n/a,n/a,n/a,n/a
,PEN,"100,001","1,000,000",Tier rate,0.0026,-5%,"120,001","400,000",Tier rate,0.0026,-5%,n/a,n/a,n/a,n/a,n/a
,PEN,"1,000,001","4,500,000",Tier rate,0.0024,-10%,"400,001","1,000,000",Tier rate,0.0024,-10%,n/a,n/a,n/a,n/a,n/a
,PEN,"4,500,001","15,000,000",Tier rate,0.0023,-15%,"1,000,001","5,000,000",Tier rate,0.0023,-15%,n/a,n/a,n/a,n/a,n/a
,PEN,"15,000,001","30,000,000",Tier rate,0.0022,-20%,"5,000,001","10,000,000",Tier rate,0.0022,-20%,n/a,n/a,n/a,n/a,n/a
,PEN,"30,000,001",--,Tier rate,0.0020,-25%,"10,000,001",--,Tier rate,0.0020,-25%,n/a,n/a,n/a,n/a,n/a
Egypt,PEN,0,"100,000",List rate,0.0120,0%,0,"300,000",List rate,0.0120,0%,0,"300,000",List rate,0.2162,0%
,PEN,"100,001","1,000,000",Tier rate,0.0114,-5%,"300,001","2,000,000",Tier rate,0.0114,-5%,"300,001","2,000,000",Tier rate,0.2054,-5%
,PEN,"1,000,001","4,500,000",Tier rate,0.0108,-10%,"2,000,001","10,000,000",Tier rate,0.0108,-10%,"2,000,001","10,000,000",Tier rate,0.1946,-10%
,PEN,"4,500,001","40,000,000",Tier rate,0.0102,-15%,"10,000,001","20,000,000",Tier rate,0.0102,-15%,"10,000,001","20,000,000",Tier rate,0.1838,-15%
,PEN,"40,000,001","80,000,000",Tier rate,0.0096,-20%,"20,000,001","40,000,000",Tier rate,0.0096,-20%,"20,000,001","40,000,000",Tier rate,0.1730,-20%
,PEN,"80,000,001",--,Tier rate,0.0090,-25%,"40,000,001",--,Tier rate,0.0090,-25%,"40,000,001",--,Tier rate,0.1622,-25%
France,PEN,0,"100,000",List rate,0.0998,0%,0,"300,000",List rate,0.0998,0%,n/a,n/a,n/a,n/a,n/a
,PEN,"100,001","1,000,000",Tier rate,0.0948,-5%,"300,001","2,000,000",Tier rate,0.0948,-5%,n/a,n/a,n/a,n/a,n/a
