"Cost per message in COP on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
Argentina,COP,0,"100,000",List rate,95.7271,0%,0,"120,000",List rate,95.7271,0%,n/a,n/a,n/a,n/a,n/a
,COP,"100,001","1,000,000",Tier rate,90.9407,-5%,"120,001","400,000",Tier rate,90.9407,-5%,n/a,n/a,n/a,n/a,n/a
,COP,"1,000,001","4,500,000",Tier rate,86.1544,-10%,"400,001","1,000,000",Tier rate,86.1544,-10%,n/a,n/a,n/a,n/a,n/a
,COP,"4,500,001","15,000,000",Tier rate,81.3680,-15%,"1,000,001","5,000,000",Tier rate,81.3680,-15%,n/a,n/a,n/a,n/a,n/a
,COP,"15,000,001","30,000,000",Tier rate,76.5817,-20%,"5,000,001","10,000,000",Tier rate,76.5817,-20%,n/a,n/a,n/a,n/a,n/a
,COP,"30,000,001",--,Tier rate,71.7953,-25%,"10,000,001",--,Tier rate,71.7953,-25%,n/a,n/a,n/a,n/a,n/a
Brazil,COP,0,"250,000",List rate,25.0363,0%,0,"500,000",List rate,25.0363,0%,n/a,n/a,n/a,n/a,n/a
,COP,"250,001","2,000,000",Tier rate,23.7845,-5%,"500,001","3,000,000",Tier rate,23.7845,-5%,n/a,n/a,n/a,n/a,n/a
,COP,"2,000,001","17,000,000",Tier rate,22.5327,-10%,"3,000,001","5,250,000",Tier rate,22.5327,-10%,n/a,n/a,n/a,n/a,n/a
,COP,"17,000,001","35,000,000",Tier rate,21.2809,-15%,"5,250,001","10,000,000",Tier rate,21.2809,-15%,n/a,n/a,n/a,n/a,n/a
,COP,"35,000,001","70,000,000",Tier rate,20.0290,-20%,"10,000,001","20,000,000",Tier rate,20.0290,-20%,n/a,n/a,n/a,n/a,n/a
,COP,"70,000,001",--,Tier rate,18.7772,-25%,"20,000,001",--,Tier rate,18.7772,-25%,n/a,n/a,n/a,n/a,n/a
Chile,COP,0,"100,000",List rate,73.6363,0%,0,"120,000",List rate,73.6363,0%,n/a,n/a,n/a,n/a,n/a
,COP,"100,001","1,000,000",Tier rate,69.9545,-5%,"120,001","400,000",Tier rate,69.9545,-5%,n/a,n/a,n/a,n/a,n/a
,COP,"1,000,001","4,500,000",Tier rate,66.2727,-10%,"400,001","1,000,000",Tier rate,66.2727,-10%,n/a,n/a,n/a,n/a,n/a
,COP,"4,500,001","15,000,000",Tier rate,62.5909,-15%,"1,000,001","5,000,000",Tier rate,62.5909,-15%,n/a,n/a,n/a,n/a,n/a
,COP,"15,000,001","30,000,000",Tier rate,58.9090,-20%,"5,000,001","10,000,000",Tier rate,58.9090,-20%,n/a,n/a,n/a,n/a,n/a
,COP,"30,000,001",--,Tier rate,55.2272,-25%,"10,000,001",--,Tier rate,55.2272,-25%,n/a,n/a,n/a,n/a,n/a
Colombia,COP,0,"100,000",List rate,2.9455,0%,0,"120,000",List rate,2.9455,0%,n/a,n/a,n/a,n/a,n/a
,COP,"100,001","1,000,000",Tier rate,2.7982,-5%,"120,001","400,000",Tier rate,2.7982,-5%,n/a,n/a,n/a,n/a,n/a
,COP,"1,000,001","4,500,000",Tier rate,2.6510,-10%,"400,001","1,000,000",Tier rate,2.6510,-10%,n/a,n/a,n/a,n/a,n/a
,COP,"4,500,001","15,000,000",Tier rate,2.5037,-15%,"1,000,001","5,000,000",Tier rate,2.5037,-15%,n/a,n/a,n/a,n/a,n/a
,COP,"15,000,001","30,000,000",Tier rate,2.3564,-20%,"5,000,001","10,000,000",Tier rate,2.3564,-20%,n/a,n/a,n/a,n/a,n/a
,COP,"30,000,001",--,Tier rate,2.2091,-25%,"10,000,001",--,Tier rate,2.2091,-25%,n/a,n/a,n/a,n/a,n/a
Egypt,COP,0,"100,000",List rate,13.2545,0%,0,"300,000",List rate,13.2545,0%,0,"300,000",List rate,239.3179,0%
,COP,"100,001","1,000,000",Tier rate,12.5918,-5%,"300,001","2,000,000",Tier rate,12.5918,-5%,"300,001","2,000,000",Tier rate,227.3520,-5%
,COP,"1,000,001","4,500,000",Tier rate,11.9291,-10%,"2,000,001","10,000,000",Tier rate,11.9291,-10%,"2,000,001","10,000,000",Tier rate,215.3861,-10%
,COP,"4,500,001","40,000,000",Tier rate,11.2663,-15%,"10,000,001","20,000,000",Tier rate,11.2663,-15%,"10,000,001","20,000,000",Tier rate,203.4202,-15%
,COP,"40,000,001","80,000,000",Tier rate,10.6036,-20%,"20,000,001","40,000,000",Tier rate,10.6036,-20%,"20,000,001","40,000,000",Tier rate,191.4543,-20%
,COP,"80,000,001",--,Tier rate,9.9409,-25%,"40,000,001",--,Tier rate,9.9409,-25%,"40,000,001",--,Tier rate,179.4884,-25%
France,COP,0,"100,000",List rate,110.4544,0%,0,"300,000",List rate,110.4544,0%,n/a,n/a,n/a,n/a,n/a
,COP,"100,001","1,000,000",Tier rate,104.9317,-5%,"300,001","2,000,000",Tier rate,104.9317,-5%,n/a,n/a,n/a,n/a,n/a
,COP,"1,000,001","4,500,000",Tier rate,99.4090,-10%,"2,000,001","10,000,000",Tier rate,99.4090,-10%,n/a,n/a,n/a,n/a,n/a
