"Cost per message in ARS on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
Argentina,ARS,0,"100,000",List rate,37.6798,0%,0,"120,000",List rate,37.6798,0%,n/a,n/a,n/a,n/a,n/a
,ARS,"100,001","1,000,000",Tier rate,35.7958,-5%,"120,001","400,000",Tier rate,35.7958,-5%,n/a,n/a,n/a,n/a,n/a
,ARS,"1,000,001","4,500,000",Tier rate,33.9118,-10%,"400,001","1,000,000",Tier rate,33.9118,-10%,n/a,n/a,n/a,n/a,n/a
,ARS,"4,500,001","15,000,000",Tier rate,32.0278,-15%,"1,000,001","5,000,000",Tier rate,32.0278,-15%,n/a,n/a,n/a,n/a,n/a
,ARS,"15,000,001","30,000,000",Tier rate,30.1438,-20%,"5,000,001","10,000,000",Tier rate,30.1438,-20%,n/a,n/a,n/a,n/a,n/a
,ARS,"30,000,001",--,Tier rate,28.2599,-25%,"10,000,001",--,Tier rate,28.2599,-25%,n/a,n/a,n/a,n/a,n/a
Brazil,ARS,0,"250,000",List rate,9.8547,0%,0,"500,000",List rate,9.8547,0%,n/a,n/a,n/a,n/a,n/a
,ARS,"250,001","2,000,000",Tier rate,9.3620,-5%,"500,001","3,000,000",Tier rate,9.3620,-5%,n/a,n/a,n/a,n/a,n/a
,ARS,"2,000,001","17,000,000",Tier rate,8.8692,-10%,"3,000,001","5,250,000",Tier rate,8.8692,-10%,n/a,n/a,n/a,n/a,n/a
,ARS,"17,000,001","35,000,000",Tier rate,8.3765,-15%,"5,250,001","10,000,000",Tier rate,8.3765,-15%,n/a,n/a,n/a,n/a,n/a
,ARS,"35,000,001","70,000,000",Tier rate,7.8838,-20%,"10,000,001","20,000,000",Tier rate,7.8838,-20%,n/a,n/a,n/a,n/a,n/a
,ARS,"70,000,001",--,Tier rate,7.3910,-25%,"20,000,001",--,Tier rate,7.3910,-25%,n/a,n/a,n/a,n/a,n/a
Chile,ARS,0,"100,000",List rate,28.9845,0%,0,"120,000",List rate,28.9845,0%,n/a,n/a,n/a,n/a,n/a
,ARS,"100,001","1,000,000",Tier rate,27.5353,-5%,"120,001","400,000",Tier rate,27.5353,-5%,n/a,n/a,n/a,n/a,n/a
,ARS,"1,000,001","4,500,000",Tier rate,26.0861,-10%,"400,001","1,000,000",Tier rate,26.0861,-10%,n/a,n/a,n/a,n/a,n/a
,ARS,"4,500,001","15,000,000",Tier rate,24.6368,-15%,"1,000,001","5,000,000",Tier rate,24.6368,-15%,n/a,n/a,n/a,n/a,n/a
,ARS,"15,000,001","30,000,000",Tier rate,23.1876,-20%,"5,000,001","10,000,000",Tier rate,23.1876,-20%,n/a,n/a,n/a,n/a,n/a
,ARS,"30,000,001",--,Tier rate,21.7384,-25%,"10,000,001",--,Tier rate,21.7384,-25%,n/a,n/a,n/a,n/a,n/a
Colombia,ARS,0,"100,000",List rate,1.1594,0%,0,"120,000",List rate,1.1594,0%,n/a,n/a,n/a,n/a,n/a
,ARS,"100,001","1,000,000",Tier rate,1.1014,-5%,"120,001","400,000",Tier rate,1.1014,-5%,n/a,n/a,n/a,n/a,n/a
,ARS,"1,000,001","4,500,000",Tier rate,1.0435,-10%,"400,001","1,000,000",Tier rate,1.0435,-10%,n/a,n/a,n/a,n/a,n/a
,ARS,"4,500,001","15,000,000",Tier rate,0.9855,-15%,"1,000,001","5,000,000",Tier rate,0.9855,-15%,n/a,n/a,n/a,n/a,n/a
,ARS,"15,000,001","30,000,000",Tier rate,0.9275,-20%,"5,000,001","10,000,000",Tier rate,0.9275,-20%,n/a,n/a,n/a,n/a,n/a
,ARS,"30,000,001",--,Tier rate,0.8696,-25%,"10,000,001",--,Tier rate,0.8696,-25%,n/a,n/a,n/a,n/a,n/a
Egypt,ARS,0,"100,000",List rate,5.2172,0%,0,"300,000",List rate,5.2172,0%,0,"300,000",List rate,94.1995,0%
,ARS,"100,001","1,000,000",Tier rate,4.9563,-5%,"300,001","2,000,000",Tier rate,4.9563,-5%,"300,001","2,000,000",Tier rate,89.4895,-5%
,ARS,"1,000,001","4,500,000",Tier rate,4.6955,-10%,"2,000,001","10,000,000",Tier rate,4.6955,-10%,"2,000,001","10,000,000",Tier rate,84.7796,-10%
,ARS,"4,500,001","40,000,000",Tier rate,4.4346,-15%,"10,000,001","20,000,000",Tier rate,4.4346,-15%,"10,000,001","20,000,000",Tier rate,80.0696,-15%
,ARS,"40,000,001","80,000,000",Tier rate,4.1738,-20%,"20,000,001","40,000,000",Tier rate,4.1738,-20%,"20,000,001","40,000,000",Tier rate,75.3596,-20%
,ARS,"80,000,001",--,Tier rate,3.9129,-25%,"40,000,001",--,Tier rate,3.9129,-25%,"40,000,001",--,Tier rate,70.6496,-25%
France,ARS,0,"100,000",List rate,43.4767,0%,0,"300,000",List rate,43.4767,0%,n/a,n/a,n/a,n/a,n/a
,ARS,"100,001","1,000,000",Tier rate,41.3029,-5%,"300,001","2,000,000",Tier rate,41.3029,-5%,n/a,n/a,n/a,n/a,n/a
