"Cost per message in SAR on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
Argentina,SAR,0,"100,000",List rate,0.0974,0%,0,"120,000",List rate,0.0974,0%,n/a,n/a,n/a,n/a,n/a
,SAR,"100,001","1,000,000",Tier rate,0.0925,-5%,"120,001","400,000",Tier rate,0.0925,-5%,n/a,n/a,n/a,n/a,n/a
,SAR,"1,000,001","4,500,000",Tier rate,0.0877,-10%,"400,001","1,000,000",Tier rate,0.0877,-10%,n/a,n/a,n/a,n/a,n/a
,SAR,"4,500,001","15,000,000",Tier rate,0.0828,-15%,"1,000,001","5,000,000",Tier rate,0.0828,-15%,n/a,n/a,n/a,n/a,n/a
,SAR,"15,000,001","30,000,000",Tier rate,0.0779,-20%,"5,000,001","10,000,000",Tier rate,0.0779,-20%,n/a,n/a,n/a,n/a,n/a
,SAR,"30,000,001",--,Tier rate,0.0731,-25%,"10,000,001",--,Tier rate,0.0731,-25%,n/a,n/a,n/a,n/a,n/a
Brazil,SAR,0,"250,000",List rate,0.0255,0%,0,"500,000",List rate,0.0255,0%,n/a,n/a,n/a,n/a,n/a
,SAR,"250,001","2,000,000",Tier rate,0.0242,-5%,"500,001","3,000,000",Tier rate,0.0242,-5%,n/a,n/a,n/a,n/a,n/a
,SAR,"2,000,001","17,000,000",Tier rate,0.0230,-10%,"3,000,001","5,250,000",Tier rate,0.0230,-10%,n/a,n/a,n/a,n/a,n/a
,SAR,"17,000,001","35,000,000",Tier rate,0.0217,-15%,"5,250,001","10,000,000",Tier rate,0.0217,-15%,n/a,n/a,n/a,n/a,n/a
,SAR,"35,000,001","70,000,000",Tier rate,0.0204,-20%,"10,000,001","20,000,000",Tier rate,0.0204,-20%,n/a,n/a,n/a,n/a,n/a
,SAR,"70,000,001",--,Tier rate,0.0191,-25%,"20,000,001",--,Tier rate,0.0191,-25%,n/a,n/a,n/a,n/a,n/a
Chile,SAR,0,"100,000",List rate,0.0749,0%,0,"120,000",List rate,0.0749,0%,n/a,n/a,n/a,n/a,n/a
,SAR,"100,001","1,000,000",Tier rate,0.0712,-5%,"120,001","400,000",Tier rate,0.0712,-5%,n/a,n/a,n/a,n/a,n/a
,SAR,"1,000,001","4,500,000",Tier rate,0.0674,-10%,"400,001","1,000,000",Tier rate,0.0674,-10%,n/a,n/a,n/a,n/a,n/a
,SAR,"4,500,001","15,000,000",Tier rate,0.0637,-15%,"1,000,001","5,000,000",Tier rate,0.0637,-15%,n/a,n/a,n/a,n/a,n/a
,SAR,"15,000,001","30,000,000",Tier rate,0.0599,-20%,"5,000,001","10,000,000",Tier rate,0.0599,-20%,n/a,n/a,n/a,n/a,n/a
,SAR,"30,000,001",--,Tier rate,0.0562,-25%,"10,000,001",--,Tier rate,0.0562,-25%,n/a,n/a,n/a,n/a,n/a
Colombia,SAR,0,"100,000",List rate,0.0030,0%,0,"120,000",List rate,0.0030,0%,n/a,n/a,n/a,n/a,n/a
,SAR,"100,001","1,000,000",Tier rate,0.0029,-5%,"120,001","400,000",Tier rate,0.0029,-5%,n/a,n/a,n/a,n/a,n/a
,SAR,"1,000,001","4,500,000",Tier rate,0.0027,-10%,"400,001","1,000,000",Tier rate,0.0027,-10%,n/a,n/a,n/a,n/a,n/a
,SAR,"4,500,001","15,000,000",Tier rate,0.0026,-15%,"1,000,001","5,000,000",Tier rate,0.0026,-15%,n/a,n/a,n/a,n/a,n/a
,SAR,"15,000,001","30,000,000",Tier rate,0.0024,-20%,"5,000,001","10,000,000",Tier rate,0.0024,-20%,n/a,n/a,n/a,n/a,n/a
,SAR,"30,000,001",--,Tier rate,0.0023,-25%,"10,000,001",--,Tier rate,0.0023,-25%,n/a,n/a,n/a,n/a,n/a
Egypt,SAR,0,"100,000",List rate,0.0135,0%,0,"300,000",List rate,0.0135,0%,0,"300,000",List rate,0.2435,0%
,SAR,"100,001","1,000,000",Tier rate,0.0128,-5%,"300,001","2,000,000",Tier rate,0.0128,-5%,"300,001","2,000,000",Tier rate,0.2313,-5%
,SAR,"1,000,001","4,500,000",Tier rate,0.0122,-10%,"2,000,001","10,000,000",Tier rate,0.0122,-10%,"2,000,001","10,000,000",Tier rate,0.2192,-10%
,SAR,"4,500,001","40,000,000",Tier rate,0.0115,-15%,"10,000,001","20,000,000",Tier rate,0.0115,-15%,"10,000,001","20,000,000",Tier rate,0.2070,-15%
,SAR,"40,000,001","80,000,000",Tier rate,0.0108,-20%,"20,000,001","40,000,000",Tier rate,0.0108,-20%,"20,000,001","40,000,000",Tier rate,0.1948,-20%
,SAR,"80,000,001",--,Tier rate,0.0101,-25%,"40,000,001",--,Tier rate,0.0101,-25%,"40,000,001",--,Tier rate,0.1826,-25%
France,SAR,0,"100,000",List rate,0.1124,0%,0,"300,000",List rate,0.1124,0%,n/a,n/a,n/a,n/a,n/a
,SAR,"100,001","1,000,000",Tier rate,0.1068,-5%,"300,001","2,000,000",Tier rate,0.1068,-5%,n/a,n/a,n/a,n/a,n/a
