"Cost per message in CLP on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
Argentina,CLP,0,"100,000",List rate,22.9560,0%,0,"120,000",List rate,22.9560,0%,n/a,n/a,n/a,n/a,n/a
,CLP,"100,001","1,000,000",Tier rate,21.8082,-5%,"120,001","400,000",Tier rate,21.8082,-5%,n/a,n/a,n/a,n/a,n/a
,CLP,"1,000,001","4,500,000",Tier rate,20.6604,-10%,"400,001","1,000,000",Tier rate,20.6604,-10%,n/a,n/a,n/a,n/a,n/a
,CLP,"4,500,001","15,000,000",Tier rate,19.5126,-15%,"1,000,001","5,000,000",Tier rate,19.5126,-15%,n/a,n/a,n/a,n/a,n/a
,CLP,"15,000,001","30,000,000",Tier rate,18.3648,-20%,"5,000,001","10,000,000",Tier rate,18.3648,-20%,n/a,n/a,n/a,n/a,n/a
,CLP,"30,000,001",--,Tier rate,17.2170,-25%,"10,000,001",--,Tier rate,17.2170,-25%,n/a,n/a,n/a,n/a,n/a
Brazil,CLP,0,"250,000",List rate,6.0039,0%,0,"500,000",List rate,6.0039,0%,n/a,n/a,n/a,n/a,n/a
,CLP,"250,001","2,000,000",Tier rate,5.7037,-5%,"500,001","3,000,000",Tier rate,5.7037,-5%,n/a,n/a,n/a,n/a,n/a
,CLP,"2,000,001","17,000,000",Tier rate,5.4035,-10%,"3,000,001","5,250,000",Tier rate,5.4035,-10%,n/a,n/a,n/a,n/a,n/a
,CLP,"17,000,001","35,000,000",Tier rate,5.1033,-15%,"5,250,001","10,000,000",Tier rate,5.1033,-15%,n/a,n/a,n/a,n/a,n/a
,CLP,"35,000,001","70,000,000",Tier rate,4.8031,-20%,"10,000,001","20,000,000",Tier rate,4.8031,-20%,n/a,n/a,n/a,n/a,n/a
,CLP,"70,000,001",--,Tier rate,4.5029,-25%,"20,000,001",--,Tier rate,4.5029,-25%,n/a,n/a,n/a,n/a,n/a
Chile,CLP,0,"100,000",List rate,17.6584,0%,0,"120,000",List rate,17.6584,0%,n/a,n/a,n/a,n/a,n/a
,CLP,"100,001","1,000,000",Tier rate,16.7755,-5%,"120,001","400,000",Tier rate,16.7755,-5%,n/a,n/a,n/a,n/a,n/a
,CLP,"1,000,001","4,500,000",Tier rate,15.8926,-10%,"400,001","1,000,000",Tier rate,15.8926,-10%,n/a,n/a,n/a,n/a,n/a
,CLP,"4,500,001","15,000,000",Tier rate,15.0096,-15%,"1,000,001","5,000,000",Tier rate,15.0096,-15%,n/a,n/a,n/a,n/a,n/a
,CLP,"15,000,001","30,000,000",Tier rate,14.1267,-20%,"5,000,001","10,000,000",Tier rate,14.1267,-20%,n/a,n/a,n/a,n/a,n/a
,CLP,"30,000,001",--,Tier rate,13.2438,-25%,"10,000,001",--,Tier rate,13.2438,-25%,n/a,n/a,n/a,n/a,n/a
Colombia,CLP,0,"100,000",List rate,0.7063,0%,0,"120,000",List rate,0.7063,0%,n/a,n/a,n/a,n/a,n/a
,CLP,"100,001","1,000,000",Tier rate,0.6710,-5%,"120,001","400,000",Tier rate,0.6710,-5%,n/a,n/a,n/a,n/a,n/a
,CLP,"1,000,001","4,500,000",Tier rate,0.6357,-10%,"400,001","1,000,000",Tier rate,0.6357,-10%,n/a,n/a,n/a,n/a,n/a
,CLP,"4,500,001","15,000,000",Tier rate,0.6004,-15%,"1,000,001","5,000,000",Tier rate,0.6004,-15%,n/a,n/a,n/a,n/a,n/a
,CLP,"15,000,001","30,000,000",Tier rate,0.5650,-20%,"5,000,001","10,000,000",Tier rate,0.5650,-20%,n/a,n/a,n/a,n/a,n/a
,CLP,"30,000,001",--,Tier rate,0.5297,-25%,"10,000,001",--,Tier rate,0.5297,-25%,n/a,n/a,n/a,n/a,n/a
Egypt,CLP,0,"100,000",List rate,3.1785,0%,0,"300,000",List rate,3.1785,0%,0,"300,000",List rate,57.3899,0%
,CLP,"100,001","1,000,000",Tier rate,3.0196,-5%,"300,001","2,000,000",Tier rate,3.0196,-5%,"300,001","2,000,000",Tier rate,54.5204,-5%
,CLP,"1,000,001","4,500,000",Tier rate,2.8607,-10%,"2,000,001","10,000,000",Tier rate,2.8607,-10%,"2,000,001","10,000,000",Tier rate,51.6509,-10%
,CLP,"4,500,001","40,000,000",Tier rate,2.7017,-15%,"10,000,001","20,000,000",Tier rate,2.7017,-15%,"10,000,001","20,000,000",Tier rate,48.7814,-15%
,CLP,"40,000,001","80,000,000",Tier rate,2.5428,-20%,"20,000,001","40,000,000",Tier rate,2.5428,-20%,"20,000,001","40,000,000",Tier rate,45.9119,-20%
,CLP,"80,000,001",--,Tier rate,2.3839,-25%,"40,000,001",--,Tier rate,2.3839,-25%,"40,000,001",--,Tier rate,43.0424,-25%
France,CLP,0,"100,000",List rate,26.4876,0%,0,"300,000",List rate,26.4876,0%,n/a,n/a,n/a,n/a,n/a
,CLP,"100,001","1,000,000",Tier rate,25.1632,-5%,"300,001","2,000,000",Tier rate,25.1632,-5%,n/a,n/a,n/a,n/a,n/a
