"Cost per message in MYR on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
Argentina,MYR,0,"100,000",List rate,0.1048,0%,0,"120,000",List rate,0.1048,0%,n/a,n/a,n/a,n/a,n/a
,MYR,"100,001","1,000,000",Tier rate,0.0996,-5%,"120,001","400,000",Tier rate,0.0996,-5%,n/a,n/a,n/a,n/a,n/a
,MYR,"1,000,001","4,500,000",Tier rate,0.0943,-10%,"400,001","1,000,000",Tier rate,0.0943,-10%,n/a,n/a,n/a,n/a,n/a
,MYR,"4,500,001","15,000,000",Tier rate,0.0891,-15%,"1,000,001","5,000,000",Tier rate,0.0891,-15%,n/a,n/a,n/a,n/a,n/a
,MYR,"15,000,001","30,000,000",Tier rate,0.0838,-20%,"5,000,001","10,000,000",Tier rate,0.0838,-20%,n/a,n/a,n/a,n/a,n/a
,MYR,"30,000,001",--,Tier rate,0.0786,-25%,"10,000,001",--,Tier rate,0.0786,-25%,n/a,n/a,n/a,n/a,n/a
Brazil,MYR,0,"250,000",List rate,0.0274,0%,0,"500,000",List rate,0.0274,0%,n/a,n/a,n/a,n/a,n/a
,MYR,"250,001","2,000,000",Tier rate,0.0260,-5%,"500,001","3,000,000",Tier rate,0.0260,-5%,n/a,n/a,n/a,n/a,n/a
,MYR,"2,000,001","17,000,000",Tier rate,0.0247,-10%,"3,000,001","5,250,000",Tier rate,0.0247,-10%,n/a,n/a,n/a,n/a,n/a
,MYR,"17,000,001","35,000,000",Tier rate,0.0233,-15%,"5,250,001","10,000,000",Tier rate,0.0233,-15%,n/a,n/a,n/a,n/a,n/a
,MYR,"35,000,001","70,000,000",Tier rate,0.0219,-20%,"10,000,001","20,000,000",Tier rate,0.0219,-20%,n/a,n/a,n/a,n/a,n/a
,MYR,"70,000,001",--,Tier rate,0.0206,-25%,"20,000,001",--,Tier rate,0.0206,-25%,n/a,n/a,n/a,n/a,n/a
Chile,MYR,0,"100,000",List rate,0.0806,0%,0,"120,000",List rate,0.0806,0%,n/a,n/a,n/a,n/a,n/a
,MYR,"100,001","1,000,000",Tier rate,0.0766,-5%,"120,001","400,000",Tier rate,0.0766,-5%,n/a,n/a,n/a,n/a,n/a
,MYR,"1,000,001","4,500,000",Tier rate,0.0725,-10%,"400,001","1,000,000",Tier rate,0.0725,-10%,n/a,n/a,n/a,n/a,n/a
,MYR,"4,500,001","15,000,000",Tier rate,0.0685,-15%,"1,000,001","5,000,000",Tier rate,0.0685,-15%,n/a,n/a,n/a,n/a,n/a
,MYR,"15,000,001","30,000,000",Tier rate,0.0645,-20%,"5,000,001","10,000,000",Tier rate,0.0645,-20%,n/a,n/a,n/a,n/a,n/a
,MYR,"30,000,001",--,Tier rate,0.0605,-25%,"10,000,001",--,Tier rate,0.0605,-25%,n/a,n/a,n/a,n/a,n/a
Colombia,MYR,0,"100,000",List rate,0.0032,0%,0,"120,000",List rate,0.0032,0%,n/a,n/a,n/a,n/a,n/a
,MYR,"100,001","1,000,000",Tier rate,0.0030,-5%,"120,001","400,000",Tier rate,0.0030,-5%,n/a,n/a,n/a,n/a,n/a
,MYR,"1,000,001","4,500,000",Tier rate,0.0029,-10%,"400,001","1,000,000",Tier rate,0.0029,-10%,n/a,n/a,n/a,n/a,n/a
,MYR,"4,500,001","15,000,000",Tier rate,0.0027,-15%,"1,000,001","5,000,000",Tier rate,0.0027,-15%,n/a,n/a,n/a,n/a,n/a
,MYR,"15,000,001","30,000,000",Tier rate,0.0026,-20%,"5,000,001","10,000,000",Tier rate,0.0026,-20%,n/a,n/a,n/a,n/a,n/a
,MYR,"30,000,001",--,Tier rate,0.0024,-25%,"10,000,001",--,Tier rate,0.0024,-25%,n/a,n/a,n/a,n/a,n/a
Egypt,MYR,0,"100,000",List rate,0.0145,0%,0,"300,000",List rate,0.0145,0%,0,"300,000",List rate,0.2621,0%
,MYR,"100,001","1,000,000",Tier rate,0.0138,-5%,"300,001","2,000,000",Tier rate,0.0138,-5%,"300,001","2,000,000",Tier rate,0.2490,-5%
,MYR,"1,000,001","4,500,000",Tier rate,0.0131,-10%,"2,000,001","10,000,000",Tier rate,0.0131,-10%,"2,000,001","10,000,000",Tier rate,0.2359,-10%
,MYR,"4,500,001","40,000,000",Tier rate,0.0123,-15%,"10,000,001","20,000,000",Tier rate,0.0123,-15%,"10,000,001","20,000,000",Tier rate,0.2228,-15%
,MYR,"40,000,001","80,000,000",Tier rate,0.0116,-20%,"20,000,001","40,000,000",Tier rate,0.0116,-20%,"20,000,001","40,000,000",Tier rate,0.2097,-20%
,MYR,"80,000,001",--,Tier rate,0.0109,-25%,"40,000,001",--,Tier rate,0.0109,-25%,"40,000,001",--,Tier rate,0.1966,-25%
France,MYR,0,"100,000",List rate,0.1210,0%,0,"300,000",List rate,0.1210,0%,n/a,n/a,n/a,n/a,n/a
,MYR,"100,001","1,000,000",Tier rate,0.1150,-5%,"300,001","2,000,000",Tier rate,0.1150,-5%,n/a,n/a,n/a,n/a,n/a
