"Cost per message in MXN on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
Argentina,MXN,0,"100,000",List rate,0.4786,0%,0,"120,000",List rate,0.4786,0%,n/a,n/a,n/a,n/a,n/a
,MXN,"100,001","1,000,000",Tier rate,0.4547,-5%,"120,001","400,000",Tier rate,0.4547,-5%,n/a,n/a,n/a,n/a,n/a
,MXN,"1,000,001","4,500,000",Tier rate,0.4307,-10%,"400,001","1,000,000",Tier rate,0.4307,-10%,n/a,n/a,n/a,n/a,n/a
,MXN,"4,500,001","15,000,000",Tier rate,0.4068,-15%,"1,000,001","5,000,000",Tier rate,0.4068,-15%,n/a,n/a,n/a,n/a,n/a
,MXN,"15,000,001","30,000,000",Tier rate,0.3829,-20%,"5,000,001","10,000,000",Tier rate,0.3829,-20%,n/a,n/a,n/a,n/a,n/a
,MXN,"30,000,001",--,Tier rate,0.3590,-25%,"10,000,001",--,Tier rate,0.3590,-25%,n/a,n/a,n/a,n/a,n/a
Brazil,MXN,0,"250,000",List rate,0.1252,0%,0,"500,000",List rate,0.1252,0%,n/a,n/a,n/a,n/a,n/a
,MXN,"250,001","2,000,000",Tier rate,0.1189,-5%,"500,001","3,000,000",Tier rate,0.1189,-5%,n/a,n/a,n/a,n/a,n/a
,MXN,"2,000,001","17,000,000",Tier rate,0.1127,-10%,"3,000,001","5,250,000",Tier rate,0.1127,-10%,n/a,n/a,n/a,n/a,n/a
,MXN,"17,000,001","35,000,000",Tier rate,0.1064,-15%,"5,250,001","10,000,000",Tier rate,0.1064,-15%,n/a,n/a,n/a,n/a,n/a
,MXN,"35,000,001","70,000,000",Tier rate,0.1002,-20%,"10,000,001","20,000,000",Tier rate,0.1002,-20%,n/a,n/a,n/a,n/a,n/a
,MXN,"70,000,001",--,Tier rate,0.0939,-25%,"20,000,001",--,Tier rate,0.0939,-25%,n/a,n/a,n/a,n/a,n/a
Chile,MXN,0,"100,000",List rate,0.3681,0%,0,"120,000",List rate,0.3681,0%,n/a,n/a,n/a,n/a,n/a
,MXN,"100,001","1,000,000",Tier rate,0.3497,-5%,"120,001","400,000",Tier rate,0.3497,-5%,n/a,n/a,n/a,n/a,n/a
,MXN,"1,000,001","4,500,000",Tier rate,0.3313,-10%,"400,001","1,000,000",Tier rate,0.3313,-10%,n/a,n/a,n/a,n/a,n/a
,MXN,"4,500,001","15,000,000",Tier rate,0.3129,-15%,"1,000,001","5,000,000",Tier rate,0.3129,-15%,n/a,n/a,n/a,n/a,n/a
,MXN,"15,000,001","30,000,000",Tier rate,0.2945,-20%,"5,000,001","10,000,000",Tier rate,0.2945,-20%,n/a,n/a,n/a,n/a,n/a
,MXN,"30,000,001",--,Tier rate,0.2761,-25%,"10,000,001",--,Tier rate,0.2761,-25%,n/a,n/a,n/a,n/a,n/a
Colombia,MXN,0,"100,000",List rate,0.0147,0%,0,"120,000",List rate,0.0147,0%,n/a,n/a,n/a,n/a,n/a
,MXN,"100,001","1,000,000",Tier rate,0.0140,-5%,"120,001","400,000",Tier rate,0.0140,-5%,n/a,n/a,n/a,n/a,n/a
,MXN,"1,000,001","4,500,000",Tier rate,0.0132,-10%,"400,001","1,000,000",Tier rate,0.0132,-10%,n/a,n/a,n/a,n/a,n/a
,MXN,"4,500,001","15,000,000",Tier rate,0.0125,-15%,"1,000,001","5,000,000",Tier rate,0.0125,-15%,n/a,n/a,n/a,n/a,n/a
,MXN,"15,000,001","30,000,000",Tier rate,0.0118,-20%,"5,000,001","10,000,000",Tier rate,0.0118,-20%,n/a,n/a,n/a,n/a,n/a
,MXN,"30,000,001",--,Tier rate,0.0110,-25%,"10,000,001",--,Tier rate,0.0110,-25%,n/a,n/a,n/a,n/a,n/a
Egypt,MXN,0,"100,000",List rate,0.0663,0%,0,"300,000",List rate,0.0663,0%,0,"300,000",List rate,1.1964,0%
,MXN,"100,001","1,000,000",Tier rate,0.0630,-5%,"300,001","2,000,000",Tier rate,0.0630,-5%,"300,001","2,000,000",Tier rate,1.1366,-5%
,MXN,"1,000,001","4,500,000",Tier rate,0.0597,-10%,"2,000,001","10,000,000",Tier rate,0.0597,-10%,"2,000,001","10,000,000",Tier rate,1.0768,-10%
,MXN,"4,500,001","40,000,000",Tier rate,0.0564,-15%,"10,000,001","20,000,000",Tier rate,0.0564,-15%,"10,000,001","20,000,000",Tier rate,1.0169,-15%
,MXN,"40,000,001","80,000,000",Tier rate,0.0530,-20%,"20,000,001","40,000,000",Tier rate,0.0530,-20%,"20,000,001","40,000,000",Tier rate,0.9571,-20%
,MXN,"80,000,001",--,Tier rate,0.0497,-25%,"40,000,001",--,Tier rate,0.0497,-25%,"40,000,001",--,Tier rate,0.8973,-25%
France,MXN,0,"100,000",List rate,0.5522,0%,0,"300,000",List rate,0.5522,0%,n/a,n/a,n/a,n/a,n/a
,MXN,"100,001","1,000,000",Tier rate,0.5246,-5%,"300,001","2,000,000",Tier rate,0.5246,-5%,n/a,n/a,n/a,n/a,n/a
