"Cost per message in AED on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
Argentina,AED,0,"100,000",List rate,0.0955,0%,0,"120,000",List rate,0.0955,0%,n/a,n/a,n/a,n/a,n/a
,AED,"100,001","1,000,000",Tier rate,0.0907,-5%,"120,001","400,000",Tier rate,0.0907,-5%,n/a,n/a,n/a,n/a,n/a
,AED,"1,000,001","4,500,000",Tier rate,0.0860,-10%,"400,001","1,000,000",Tier rate,0.0860,-10%,n/a,n/a,n/a,n/a,n/a
,AED,"4,500,001","15,000,000",Tier rate,0.0812,-15%,"1,000,001","5,000,000",Tier rate,0.0812,-15%,n/a,n/a,n/a,n/a,n/a
,AED,"15,000,001","30,000,000",Tier rate,0.0764,-20%,"5,000,001","10,000,000",Tier rate,0.0764,-20%,n/a,n/a,n/a,n/a,n/a
,AED,"30,000,001",--,Tier rate,0.0716,-25%,"10,000,001",--,Tier rate,0.0716,-25%,n/a,n/a,n/a,n/a,n/a
Brazil,AED,0,"250,000",List rate,0.0250,0%,0,"500,000",List rate,0.0250,0%,n/a,n/a,n/a,n/a,n/a
,AED,"250,001","2,000,000",Tier rate,0.0238,-5%,"500,001","3,000,000",Tier rate,0.0238,-5%,n/a,n/a,n/a,n/a,n/a
,AED,"2,000,001","17,000,000",Tier rate,0.0225,-10%,"3,000,001","5,250,000",Tier rate,0.0225,-10%,n/a,n/a,n/a,n/a,n/a
,AED,"17,000,001","35,000,000",Tier rate,0.0213,-15%,"5,250,001","10,000,000",Tier rate,0.0213,-15%,n/a,n/a,n/a,n/a,n/a
,AED,"35,000,001","70,000,000",Tier rate,0.0200,-20%,"10,000,001","20,000,000",Tier rate,0.0200,-20%,n/a,n/a,n/a,n/a,n/a
,AED,"70,000,001",--,Tier rate,0.0188,-25%,"20,000,001",--,Tier rate,0.0188,-25%,n/a,n/a,n/a,n/a,n/a
Chile,AED,0,"100,000",List rate,0.0734,0%,0,"120,000",List rate,0.0734,0%,n/a,n/a,n/a,n/a,n/a
,AED,"100,001","1,000,000",Tier rate,0.0697,-5%,"120,001","400,000",Tier rate,0.0697,-5%,n/a,n/a,n/a,n/a,n/a
,AED,"1,000,001","4,500,000",Tier rate,0.0661,-10%,"400,001","1,000,000",Tier rate,0.0661,-10%,n/a,n/a,n/a,n/a,n/a
,AED,"4,500,001","15,000,000",Tier rate,0.0624,-15%,"1,000,001","5,000,000",Tier rate,0.0624,-15%,n/a,n/a,n/a,n/a,n/a
,AED,"15,000,001","30,000,000",Tier rate,0.0587,-20%,"5,000,001","10,000,000",Tier rate,0.0587,-20%,n/a,n/a,n/a,n/a,n/a
,AED,"30,000,001",--,Tier rate,0.0551,-25%,"10,000,001",--,Tier rate,0.0551,-25%,n/a,n/a,n/a,n/a,n/a
Colombia,AED,0,"100,000",List rate,0.0029,0%,0,"120,000",List rate,0.0029,0%,n/a,n/a,n/a,n/a,n/a
,AED,"100,001","1,000,000",Tier rate,0.0028,-5%,"120,001","400,000",Tier rate,0.0028,-5%,n/a,n/a,n/a,n/a,n/a
,AED,"1,000,001","4,500,000",Tier rate,0.0026,-10%,"400,001","1,000,000",Tier rate,0.0026,-10%,n/a,n/a,n/a,n/a,n/a
,AED,"4,500,001","15,000,000",Tier rate,0.0025,-15%,"1,000,001","5,000,000",Tier rate,0.0025,-15%,n/a,n/a,n/a,n/a,n/a
,AED,"15,000,001","30,000,000",Tier rate,0.0023,-20%,"5,000,001","10,000,000",Tier rate,0.0023,-20%,n/a,n/a,n/a,n/a,n/a
,AED,"30,000,001",--,Tier rate,0.0022,-25%,"10,000,001",--,Tier rate,0.0022,-25%,n/a,n/a,n/a,n/a,n/a
Egypt,AED,0,"100,000",List rate,0.0132,0%,0,"300,000",List rate,0.0132,0%,0,"300,000",List rate,0.2386,0%
,AED,"100,001","1,000,000",Tier rate,0.0125,-5%,"300,001","2,000,000",Tier rate,0.0125,-5%,"300,001","2,000,000",Tier rate,0.2267,-5%
,AED,"1,000,001","4,500,000",Tier rate,0.0119,-10%,"2,000,001","10,000,000",Tier rate,0.0119,-10%,"2,000,001","10,000,000",Tier rate,0.2147,-10%
,AED,"4,500,001","40,000,000",Tier rate,0.0112,-15%,"10,000,001","20,000,000",Tier rate,0.0112,-15%,"10,000,001","20,000,000",Tier rate,0.2028,-15%
,AED,"40,000,001","80,000,000",Tier rate,0.0106,-20%,"20,000,001","40,000,000",Tier rate,0.0106,-20%,"20,000,001","40,000,000",Tier rate,0.1909,-20%
,AED,"80,000,001",--,Tier rate,0.0099,-25%,"40,000,001",--,Tier rate,0.0099,-25%,"40,000,001",--,Tier rate,0.1790,-25%
France,AED,0,"100,000",List rate,0.1101,0%,0,"300,000",List rate,0.1101,0%,n/a,n/a,n/a,n/a,n/a
,AED,"100,001","1,000,000",Tier rate,0.1046,-5%,"300,001","2,000,000",Tier rate,0.1046,-5%,n/a,n/a,n/a,n/a,n/a
,AED,"1,000,001","4,500,000",Tier rate,0.0991,-10%,"2,000,001","10,000,000",Tier rate,0.0991,-10%,n/a,n/a,n/a,n/a,n/a
