"Cost per message in AUD on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
Argentina,AUD,0,"100,000",List rate,0.0340,0%,0,"120,000",List rate,0.0340,0%,n/a,n/a,n/a,n/a,n/a
,AUD,"100,001","1,000,000",Tier rate,0.0323,-5%,"120,001","400,000",Tier rate,0.0323,-5%,n/a,n/a,n/a,n/a,n/a
,AUD,"1,000,001","4,500,000",Tier rate,0.0306,-10%,"400,001","1,000,000",Tier rate,0.0306,-10%,n/a,n/a,n/a,n/a,n/a
,AUD,"4,500,001","15,000,000",Tier rate,0.0289,-15%,"1,000,001","5,000,000",Tier rate,0.0289,-15%,n/a,n/a,n/a,n/a,n/a
,AUD,"15,000,001","30,000,000",Tier rate,0.0272,-20%,"5,000,001","10,000,000",Tier rate,0.0272,-20%,n/a,n/a,n/a,n/a,n/a
,AUD,"30,000,001",--,Tier rate,0.0255,-25%,"10,000,001",--,Tier rate,0.0255,-25%,n/a,n/a,n/a,n/a,n/a
Brazil,AUD,0,"250,000",List rate,0.0088,0%,0,"500,000",List rate,0.0088,0%,n/a,n/a,n/a,n/a,n/a
,AUD,"250,001","2,000,000",Tier rate,0.0084,-5%,"500,001","3,000,000",Tier rate,0.0084,-5%,n/a,n/a,n/a,n/a,n/a
,AUD,"2,000,001","17,000,000",Tier rate,0.0079,-10%,"3,000,001","5,250,000",Tier rate,0.0079,-10%,n/a,n/a,n/a,n/a,n/a
,AUD,"17,000,001","35,000,000",Tier rate,0.0075,-15%,"5,250,001","10,000,000",Tier rate,0.0075,-15%,n/a,n/a,n/a,n/a,n/a
,AUD,"35,000,001","70,000,000",Tier rate,0.0070,-20%,"10,000,001","20,000,000",Tier rate,0.0070,-20%,n/a,n/a,n/a,n/a,n/a
,AUD,"70,000,001",--,Tier rate,0.0066,-25%,"20,000,001",--,Tier rate,0.0066,-25%,n/a,n/a,n/a,n/a,n/a
Chile,AUD,0,"100,000",List rate,0.0260,0%,0,"120,000",List rate,0.0260,0%,n/a,n/a,n/a,n/a,n/a
,AUD,"100,001","1,000,000",Tier rate,0.0247,-5%,"120,001","400,000",Tier rate,0.0247,-5%,n/a,n/a,n/a,n/a,n/a
,AUD,"1,000,001","4,500,000",Tier rate,0.0234,-10%,"400,001","1,000,000",Tier rate,0.0234,-10%,n/a,n/a,n/a,n/a,n/a
,AUD,"4,500,001","15,000,000",Tier rate,0.0221,-15%,"1,000,001","5,000,000",Tier rate,0.0221,-15%,n/a,n/a,n/a,n/a,n/a
,AUD,"15,000,001","30,000,000",Tier rate,0.0208,-20%,"5,000,001","10,000,000",Tier rate,0.0208,-20%,n/a,n/a,n/a,n/a,n/a
,AUD,"30,000,001",--,Tier rate,0.0195,-25%,"10,000,001",--,Tier rate,0.0195,-25%,n/a,n/a,n/a,n/a,n/a
Colombia,AUD,0,"100,000",List rate,0.0012,0%,0,"120,000",List rate,0.0012,0%,n/a,n/a,n/a,n/a,n/a
,AUD,"100,001","1,000,000",Tier rate,0.0011,-5%,"120,001","400,000",Tier rate,0.0011,-5%,n/a,n/a,n/a,n/a,n/a
,AUD,"1,000,001","4,500,000",Tier rate,0.0011,-10%,"400,001","1,000,000",Tier rate,0.0011,-10%,n/a,n/a,n/a,n/a,n/a
,AUD,"4,500,001","15,000,000",Tier rate,0.0010,-15%,"1,000,001","5,000,000",Tier rate,0.0010,-15%,n/a,n/a,n/a,n/a,n/a
,AUD,"15,000,001","30,000,000",Tier rate,0.0010,-20%,"5,000,001","10,000,000",Tier rate,0.0010,-20%,n/a,n/a,n/a,n/a,n/a
,AUD,"30,000,001",--,Tier rate,0.0009,-25%,"10,000,001",--,Tier rate,0.0009,-25%,n/a,n/a,n/a,n/a,n/a
Egypt,AUD,0,"100,000",List rate,0.0047,0%,0,"300,000",List rate,0.0047,0%,0,"300,000",List rate,0.0846,0%
,AUD,"100,001","1,000,000",Tier rate,0.0045,-5%,"300,001","2,000,000",Tier rate,0.0045,-5%,"300,001","2,000,000",Tier rate,0.0804,-5%
,AUD,"1,000,001","4,500,000",Tier rate,0.0042,-10%,"2,000,001","10,000,000",Tier rate,0.0042,-10%,"2,000,001","10,000,000",Tier rate,0.0761,-10%
,AUD,"4,500,001","40,000,000",Tier rate,0.0040,-15%,"10,000,001","20,000,000",Tier rate,0.0040,-15%,"10,000,001","20,000,000",Tier rate,0.0719,-15%
,AUD,"40,000,001","80,000,000",Tier rate,0.0038,-20%,"20,000,001","40,000,000",Tier rate,0.0038,-20%,"20,000,001","40,000,000",Tier rate,0.0677,-20%
,AUD,"80,000,001",--,Tier rate,0.0035,-25%,"40,000,001",--,Tier rate,0.0035,-25%,"40,000,001",--,Tier rate,0.0635,-25%
France,AUD,0,"100,000",List rate,0.0390,0%,0,"300,000",List rate,0.0390,0%,n/a,n/a,n/a,n/a,n/a
,AUD,"100,001","1,000,000",Tier rate,0.0371,-5%,"300,001","2,000,000",Tier rate,0.0371,-5%,n/a,n/a,n/a,n/a,n/a
