"Cost per message in IDR on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
Argentina,IDR,0,"100,000",List rate,371.19,0%,0,"120,000",List rate,371.19,0%,n/a,n/a,n/a,n/a,n/a
,IDR,"100,001","1,000,000",Tier rate,352.63,-5%,"120,001","400,000",Tier rate,352.63,-5%,n/a,n/a,n/a,n/a,n/a
,IDR,"1,000,001","4,500,000",Tier rate,334.07,-10%,"400,001","1,000,000",Tier rate,334.07,-10%,n/a,n/a,n/a,n/a,n/a
,IDR,"4,500,001","15,000,000",Tier rate,315.51,-15%,"1,000,001","5,000,000",Tier rate,315.51,-15%,n/a,n/a,n/a,n/a,n/a
,IDR,"15,000,001","30,000,000",Tier rate,296.95,-20%,"5,000,001","10,000,000",Tier rate,296.95,-20%,n/a,n/a,n/a,n/a,n/a
,IDR,"30,000,001",--,Tier rate,278.39,-25%,"10,000,001",--,Tier rate,278.39,-25%,n/a,n/a,n/a,n/a,n/a
Brazil,IDR,0,"250,000",List rate,97.05,0%,0,"500,000",List rate,97.05,0%,n/a,n/a,n/a,n/a,n/a
,IDR,"250,001","2,000,000",Tier rate,92.20,-5%,"500,001","3,000,000",Tier rate,92.20,-5%,n/a,n/a,n/a,n/a,n/a
,IDR,"2,000,001","17,000,000",Tier rate,87.35,-10%,"3,000,001","5,250,000",Tier rate,87.35,-10%,n/a,n/a,n/a,n/a,n/a
,IDR,"17,000,001","35,000,000",Tier rate,82.49,-15%,"5,250,001","10,000,000",Tier rate,82.49,-15%,n/a,n/a,n/a,n/a,n/a
,IDR,"35,000,001","70,000,000",Tier rate,77.64,-20%,"10,000,001","20,000,000",Tier rate,77.64,-20%,n/a,n/a,n/a,n/a,n/a
,IDR,"70,000,001",--,Tier rate,72.79,-25%,"20,000,001",--,Tier rate,72.79,-25%,n/a,n/a,n/a,n/a,n/a
Chile,IDR,0,"100,000",List rate,285.34,0%,0,"120,000",List rate,285.34,0%,n/a,n/a,n/a,n/a,n/a
,IDR,"100,001","1,000,000",Tier rate,271.07,-5%,"120,001","400,000",Tier rate,271.07,-5%,n/a,n/a,n/a,n/a,n/a
,IDR,"1,000,001","4,500,000",Tier rate,256.81,-10%,"400,001","1,000,000",Tier rate,256.81,-10%,n/a,n/a,n/a,n/a,n/a
,IDR,"4,500,001","15,000,000",Tier rate,242.54,-15%,"1,000,001","5,000,000",Tier rate,242.54,-15%,n/a,n/a,n/a,n/a,n/a
,IDR,"15,000,001","30,000,000",Tier rate,228.27,-20%,"5,000,001","10,000,000",Tier rate,228.27,-20%,n/a,n/a,n/a,n/a,n/a
,IDR,"30,000,001",--,Tier rate,214.01,-25%,"10,000,001",--,Tier rate,214.01,-25%,n/a,n/a,n/a,n/a,n/a
Colombia,IDR,0,"100,000",List rate,11.40,0%,0,"120,000",List rate,11.40,0%,n/a,n/a,n/a,n/a,n/a
,IDR,"100,001","1,000,000",Tier rate,10.83,-5%,"120,001","400,000",Tier rate,10.83,-5%,n/a,n/a,n/a,n/a,n/a
,IDR,"1,000,001","4,500,000",Tier rate,10.26,-10%,"400,001","1,000,000",Tier rate,10.26,-10%,n/a,n/a,n/a,n/a,n/a
,IDR,"4,500,001","15,000,000",Tier rate,9.69,-15%,"1,000,001","5,000,000",Tier rate,9.69,-15%,n/a,n/a,n/a,n/a,n/a
,IDR,"15,000,001","30,000,000",Tier rate,9.12,-20%,"5,000,001","10,000,000",Tier rate,9.12,-20%,n/a,n/a,n/a,n/a,n/a
,IDR,"30,000,001",--,Tier rate,8.55,-25%,"10,000,001",--,Tier rate,8.55,-25%,n/a,n/a,n/a,n/a,n/a
Egypt,IDR,0,"100,000",List rate,51.38,0%,0,"300,000",List rate,51.38,0%,0,"300,000",List rate,928.22,0%
,IDR,"100,001","1,000,000",Tier rate,48.81,-5%,"300,001","2,000,000",Tier rate,48.81,-5%,"300,001","2,000,000",Tier rate,881.81,-5%
,IDR,"1,000,001","4,500,000",Tier rate,46.24,-10%,"2,000,001","10,000,000",Tier rate,46.24,-10%,"2,000,001","10,000,000",Tier rate,835.40,-10%
,IDR,"4,500,001","40,000,000",Tier rate,43.67,-15%,"10,000,001","20,000,000",Tier rate,43.67,-15%,"10,000,001","20,000,000",Tier rate,788.99,-15%
,IDR,"40,000,001","80,000,000",Tier rate,41.10,-20%,"20,000,001","40,000,000",Tier rate,41.10,-20%,"20,000,001","40,000,000",Tier rate,742.58,-20%
,IDR,"80,000,001",--,Tier rate,38.54,-25%,"40,000,001",--,Tier rate,38.54,-25%,"40,000,001",--,Tier rate,696.17,-25%
France,IDR,0,"100,000",List rate,428.27,0%,0,"300,000",List rate,428.27,0%,n/a,n/a,n/a,n/a,n/a
,IDR,"100,001","1,000,000",Tier rate,406.86,-5%,"300,001","2,000,000",Tier rate,406.86,-5%,n/a,n/a,n/a,n/a,n/a
,IDR,"1,000,001","4,500,000",Tier rate,385.44,-10%,"2,000,001","10,000,000",Tier rate,385.44,-10%,n/a,n/a,n/a,n/a,n/a
