"Cost per message in EUR on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
Argentina,EUR,0,"100,000",List rate,0.0216,0%,0,"120,000",List rate,0.0216,0%,n/a,n/a,n/a,n/a,n/a
,EUR,"100,001","1,000,000",Tier rate,0.0205,-5%,"120,001","400,000",Tier rate,0.0205,-5%,n/a,n/a,n/a,n/a,n/a
,EUR,"1,000,001","4,500,000",Tier rate,0.0194,-10%,"400,001","1,000,000",Tier rate,0.0194,-10%,n/a,n/a,n/a,n/a,n/a
,EUR,"4,500,001","15,000,000",Tier rate,0.0184,-15%,"1,000,001","5,000,000",Tier rate,0.0184,-15%,n/a,n/a,n/a,n/a,n/a
,EUR,"15,000,001","30,000,000",Tier rate,0.0173,-20%,"5,000,001","10,000,000",Tier rate,0.0173,-20%,n/a,n/a,n/a,n/a,n/a
,EUR,"30,000,001",--,Tier rate,0.0162,-25%,"10,000,001",--,Tier rate,0.0162,-25%,n/a,n/a,n/a,n/a,n/a
Brazil,EUR,0,"250,000",List rate,0.0056,0%,0,"500,000",List rate,0.0056,0%,n/a,n/a,n/a,n/a,n/a
,EUR,"250,001","2,000,000",Tier rate,0.0053,-5%,"500,001","3,000,000",Tier rate,0.0053,-5%,n/a,n/a,n/a,n/a,n/a
,EUR,"2,000,001","17,000,000",Tier rate,0.0050,-10%,"3,000,001","5,250,000",Tier rate,0.0050,-10%,n/a,n/a,n/a,n/a,n/a
,EUR,"17,000,001","35,000,000",Tier rate,0.0048,-15%,"5,250,001","10,000,000",Tier rate,0.0048,-15%,n/a,n/a,n/a,n/a,n/a
,EUR,"35,000,001","70,000,000",Tier rate,0.0045,-20%,"10,000,001","20,000,000",Tier rate,0.0045,-20%,n/a,n/a,n/a,n/a,n/a
,EUR,"70,000,001",--,Tier rate,0.0042,-25%,"20,000,001",--,Tier rate,0.0042,-25%,n/a,n/a,n/a,n/a,n/a
Chile,EUR,0,"100,000",List rate,0.0166,0%,0,"120,000",List rate,0.0166,0%,n/a,n/a,n/a,n/a,n/a
,EUR,"100,001","1,000,000",Tier rate,0.0158,-5%,"120,001","400,000",Tier rate,0.0158,-5%,n/a,n/a,n/a,n/a,n/a
,EUR,"1,000,001","4,500,000",Tier rate,0.0149,-10%,"400,001","1,000,000",Tier rate,0.0149,-10%,n/a,n/a,n/a,n/a,n/a
,EUR,"4,500,001","15,000,000",Tier rate,0.0141,-15%,"1,000,001","5,000,000",Tier rate,0.0141,-15%,n/a,n/a,n/a,n/a,n/a
,EUR,"15,000,001","30,000,000",Tier rate,0.0133,-20%,"5,000,001","10,000,000",Tier rate,0.0133,-20%,n/a,n/a,n/a,n/a,n/a
,EUR,"30,000,001",--,Tier rate,0.0125,-25%,"10,000,001",--,Tier rate,0.0125,-25%,n/a,n/a,n/a,n/a,n/a
Colombia,EUR,0,"100,000",List rate,0.0008,0%,0,"120,000",List rate,0.0008,0%,n/a,n/a,n/a,n/a,n/a
,EUR,"100,001","1,000,000",Tier rate,0.0008,-5%,"120,001","400,000",Tier rate,0.0008,-5%,n/a,n/a,n/a,n/a,n/a
,EUR,"1,000,001","4,500,000",Tier rate,0.0007,-10%,"400,001","1,000,000",Tier rate,0.0007,-10%,n/a,n/a,n/a,n/a,n/a
,EUR,"4,500,001","15,000,000",Tier rate,0.0007,-15%,"1,000,001","5,000,000",Tier rate,0.0007,-15%,n/a,n/a,n/a,n/a,n/a
,EUR,"15,000,001","30,000,000",Tier rate,0.0006,-20%,"5,000,001","10,000,000",Tier rate,0.0006,-20%,n/a,n/a,n/a,n/a,n/a
,EUR,"30,000,001",--,Tier rate,0.0006,-25%,"10,000,001",--,Tier rate,0.0006,-25%,n/a,n/a,n/a,n/a,n/a
Egypt,EUR,0,"100,000",List rate,0.0030,0%,0,"300,000",List rate,0.0030,0%,0,"300,000",List rate,0.0538,0%
,EUR,"100,001","1,000,000",Tier rate,0.0029,-5%,"300,001","2,000,000",Tier rate,0.0029,-5%,"300,001","2,000,000",Tier rate,0.0511,-5%
,EUR,"1,000,001","4,500,000",Tier rate,0.0027,-10%,"2,000,001","10,000,000",Tier rate,0.0027,-10%,"2,000,001","10,000,000",Tier rate,0.0484,-10%
,EUR,"4,500,001","40,000,000",Tier rate,0.0026,-15%,"10,000,001","20,000,000",Tier rate,0.0026,-15%,"10,000,001","20,000,000",Tier rate,0.0457,-15%
,EUR,"40,000,001","80,000,000",Tier rate,0.0024,-20%,"20,000,001","40,000,000",Tier rate,0.0024,-20%,"20,000,001","40,000,000",Tier rate,0.0430,-20%
,EUR,"80,000,001",--,Tier rate,0.0023,-25%,"40,000,001",--,Tier rate,0.0023,-25%,"40,000,001",--,Tier rate,0.0404,-25%
France,EUR,0,"100,000",List rate,0.0248,0%,0,"300,000",List rate,0.0248,0%,n/a,n/a,n/a,n/a,n/a
,EUR,"100,001","1,000,000",Tier rate,0.0236,-5%,"300,001","2,000,000",Tier rate,0.0236,-5%,n/a,n/a,n/a,n/a,n/a
