"Cost per message in USD on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
Argentina,INR,0,"100,000",List rate,1.9062,0%,0,"120,000",List rate,1.9062,0%,n/a,n/a,n/a,n/a,n/a
,INR,"100,001","1,000,000",Tier rate,1.8109,-5%,"120,001","400,000",Tier rate,1.8109,-5%,n/a,n/a,n/a,n/a,n/a
,INR,"1,000,001","4,500,000",Tier rate,1.7156,-10%,"400,001","1,000,000",Tier rate,1.7156,-10%,n/a,n/a,n/a,n/a,n/a
,INR,"4,500,001","15,000,000",Tier rate,1.6203,-15%,"1,000,001","5,000,000",Tier rate,1.6203,-15%,n/a,n/a,n/a,n/a,n/a
,INR,"15,000,001","30,000,000",Tier rate,1.5250,-20%,"5,000,001","10,000,000",Tier rate,1.5250,-20%,n/a,n/a,n/a,n/a,n/a
,INR,"30,000,001",--,Tier rate,1.4297,-25%,"10,000,001",--,Tier rate,1.4297,-25%,n/a,n/a,n/a,n/a,n/a
Brazil,INR,0,"250,000",List rate,0.4984,0%,0,"500,000",List rate,0.4984,0%,n/a,n/a,n/a,n/a,n/a
,INR,"250,001","2,000,000",Tier rate,0.4735,-5%,"500,001","3,000,000",Tier rate,0.4735,-5%,n/a,n/a,n/a,n/a,n/a
,INR,"2,000,001","17,000,000",Tier rate,0.4486,-10%,"3,000,001","5,250,000",Tier rate,0.4486,-10%,n/a,n/a,n/a,n/a,n/a
,INR,"17,000,001","35,000,000",Tier rate,0.4236,-15%,"5,250,001","10,000,000",Tier rate,0.4236,-15%,n/a,n/a,n/a,n/a,n/a
,INR,"35,000,001","70,000,000",Tier rate,0.3987,-20%,"10,000,001","20,000,000",Tier rate,0.3987,-20%,n/a,n/a,n/a,n/a,n/a
,INR,"70,000,001",--,Tier rate,0.3738,-25%,"20,000,001",--,Tier rate,0.3738,-25%,n/a,n/a,n/a,n/a,n/a
Chile,INR,0,"100,000",List rate,1.4654,0%,0,"120,000",List rate,1.4654,0%,n/a,n/a,n/a,n/a,n/a
,INR,"100,001","1,000,000",Tier rate,1.3921,-5%,"120,001","400,000",Tier rate,1.3921,-5%,n/a,n/a,n/a,n/a,n/a
,INR,"1,000,001","4,500,000",Tier rate,1.3189,-10%,"400,001","1,000,000",Tier rate,1.3189,-10%,n/a,n/a,n/a,n/a,n/a
,INR,"4,500,001","15,000,000",Tier rate,1.2456,-15%,"1,000,001","5,000,000",Tier rate,1.2456,-15%,n/a,n/a,n/a,n/a,n/a
,INR,"15,000,001","30,000,000",Tier rate,1.1723,-20%,"5,000,001","10,000,000",Tier rate,1.1723,-20%,n/a,n/a,n/a,n/a,n/a
,INR,"30,000,001",--,Tier rate,1.0991,-25%,"10,000,001",--,Tier rate,1.0991,-25%,n/a,n/a,n/a,n/a,n/a
Colombia,INR,0,"100,000",List rate,0.0588,0%,0,"120,000",List rate,0.0588,0%,n/a,n/a,n/a,n/a,n/a
,INR,"100,001","1,000,000",Tier rate,0.0559,-5%,"120,001","400,000",Tier rate,0.0559,-5%,n/a,n/a,n/a,n/a,n/a
,INR,"1,000,001","4,500,000",Tier rate,0.0529,-10%,"400,001","1,000,000",Tier rate,0.0529,-10%,n/a,n/a,n/a,n/a,n/a
,INR,"4,500,001","15,000,000",Tier rate,0.0500,-15%,"1,000,001","5,000,000",Tier rate,0.0500,-15%,n/a,n/a,n/a,n/a,n/a
,INR,"15,000,001","30,000,000",Tier rate,0.0470,-20%,"5,000,001","10,000,000",Tier rate,0.0470,-20%,n/a,n/a,n/a,n/a,n/a
,INR,"30,000,001",--,Tier rate,0.0441,-25%,"10,000,001",--,Tier rate,0.0441,-25%,n/a,n/a,n/a,n/a,n/a
Egypt,INR,0,"100,000",List rate,0.2639,0%,0,"300,000",List rate,0.2639,0%,0,"300,000",List rate,4.7668,0%
,INR,"100,001","1,000,000",Tier rate,0.2507,-5%,"300,001","2,000,000",Tier rate,0.2507,-5%,"300,001","2,000,000",Tier rate,4.5285,-5%
,INR,"1,000,001","4,500,000",Tier rate,0.2375,-10%,"2,000,001","10,000,000",Tier rate,0.2375,-10%,"2,000,001","10,000,000",Tier rate,4.2901,-10%
,INR,"4,500,001","40,000,000",Tier rate,0.2243,-15%,"10,000,001","20,000,000",Tier rate,0.2243,-15%,"10,000,001","20,000,000",Tier rate,4.0518,-15%
,INR,"40,000,001","80,000,000",Tier rate,0.2111,-20%,"20,000,001","40,000,000",Tier rate,0.2111,-20%,"20,000,001","40,000,000",Tier rate,3.8134,-20%
,INR,"80,000,001",--,Tier rate,0.1979,-25%,"40,000,001",--,Tier rate,0.1979,-25%,"40,000,001",--,Tier rate,3.5751,-25%
France,INR,0,"100,000",List rate,2.1994,0%,0,"300,000",List rate,2.1994,0%,n/a,n/a,n/a,n/a,n/a
,INR,"100,001","1,000,000",Tier rate,2.0894,-5%,"300,001","2,000,000",Tier rate,2.0894,-5%,n/a,n/a,n/a,n/a,n/a
,INR,"1,000,001","4,500,000",Tier rate,1.9795,-10%,"2,000,001","10,000,000",Tier rate,1.9795,-10%,n/a,n/a,n/a,n/a,n/a
